customer_id,first_name,last_name,email,phone,city,province,country,created_timestamp,updated_timestamp,is_active
14390,Nicholas,Wheeler,nicholas.wheeler.14390@example.com,+1-783-388-6706x0602,East Francisco,Arizona,Canada,2027-01-16 02:15:05,2027-02-07 18:50:44,Y
5140,Ryan,Flynn,ryan.flynn.5140@example.com,+1-453-302-4523,Melissafort,Wyoming,Canada,2027-01-12 18:34:43,2027-02-11 13:09:44,Y
6428,Lacey,Luna,lacey.luna.6428@example.com,268-285-4221,Thomasville,Kentucky,Canada,2027-01-05 12:00:37,2027-02-12 11:35:17,Y
8681,Michelle,Allen,michelle.allen.8681@example.com,(827)820-1449,New Robinfort,Oregon,Canada,2027-01-08 04:22:15,2027-02-06 12:19:36,Y
2060,Ivan,Contreras,ivan.contreras.2060@example.com,627-243-2366,South Adammouth,New Jersey,Canada,2027-01-05 20:27:50,2027-02-07 02:34:31,Y
11726,Whitney,Day,whitney.day.11726@example.com,(904)988-9306,Jamesville,Pennsylvania,Canada,2027-01-03 13:02:11,2027-02-24 22:42:48,Y
8675,Daniel,Romero,daniel.romero.8675@example.com,9745339172,Cherylshire,Iowa,Canada,2027-01-05 12:46:16,2027-02-11 19:38:57,Y
21547,Kaitlyn,Williams,kaitlyn.williams.21547@example.com,+1-709-265-9557x97884,Jonathanstad,Florida,Canada,2027-01-28 13:53:31,2027-02-02 05:31:34,Y
5018,Curtis,Barry,curtis.barry.5018@example.com,828.210.1679,Port Jamie,Kentucky,Canada,2027-01-09 11:45:39,2027-02-15 04:31:26,Y
16595,Donna,Morse,donna.morse.16595@example.com,(381)926-2586,East Ericberg,Michigan,Canada,2027-01-04 19:40:43,2027-02-10 08:59:16,Y
11512,Chris,Harrison,chris.harrison.11512@example.com,+1-736-748-7617x25231,North Derekmouth,West Virginia,Canada,2027-01-22 06:32:29,2027-02-09 15:48:21,Y
11355,Tara,Durham,tara.durham.11355@example.com,382-698-0220x448,Schultztown,Minnesota,Canada,2027-01-26 21:26:09,2027-02-07 21:05:08,Y
17610,Sabrina,Rosales,sabrina.rosales.17610@example.com,704.576.9137x414,East Mariashire,Pennsylvania,Canada,2027-01-23 13:40:51,2027-02-22 18:59:12,Y
20280,James,Snyder,james.snyder.20280@example.com,001-711-209-4055x4462,Anthonystad,Mississippi,Canada,2027-01-06 02:06:51,2027-02-27 23:09:32,Y
19028,Derek,Perry,derek.perry.19028@example.com,587-557-7757,Andersonfort,Arkansas,Canada,2027-01-25 21:52:14,2027-02-24 00:36:34,Y
18386,Jacob,Fitzpatrick,jacob.fitzpatrick.18386@example.com,355.973.7771x09890,West Ericberg,Utah,Canada,2027-01-06 02:55:25,2027-02-16 15:51:40,Y
1753,Jose,Owen,parkersonia@example.org,939-480-3448x2659,Lindaton,Ohio,Canada,2026-06-30 11:04:55,2027-02-26 18:02:10,Y
9627,Melanie,Gonzalez,melanie.gonzalez.9627@example.com,567-843-1049x517,South Morganmouth,Iowa,Canada,2027-01-30 03:13:17,2027-02-05 18:49:28,Y
21828,Sarah,Ellis,sarah.ellis.21828@example.com,393-418-8297,Brittanytown,North Dakota,Canada,2027-01-20 14:30:48,2027-02-11 00:25:26,Y
18344,Wendy,Morales,wendy.morales.18344@example.com,325-975-8767x494,South Kellyshire,Kansas,Canada,2027-01-01 16:55:29,2027-02-18 12:15:52,Y
15119,Paul,Walker,paul.walker.15119@example.com,808-848-5736x2927,South Alishachester,New York,Canada,2027-01-08 13:13:20,2027-02-28 00:50:56,Y
742,Kristen,Woods,schwartzvictoria@example.net,646.771.9915,Port Tina,Washington,Canada,2026-05-28 21:14:52,2027-02-20 11:04:14,Y
1141,Michael,Hamilton,garciaalexander@example.org,494.808.4033x6076,Garciastad,Vermont,Canada,2026-01-06 00:59:35,2027-02-04 18:49:42,Y
15403,Grant,Thornton,grant.thornton.15403@example.com,+1-623-473-4010x63088,Port Peter,West Virginia,Canada,2027-01-19 13:31:36,2027-02-14 19:48:51,Y
15937,Carolyn,Rowland,carolyn.rowland.15937@example.com,+1-309-674-0965x37479,Rosebury,Louisiana,Canada,2027-01-23 17:44:54,2027-02-21 17:47:44,Y
9757,Megan,Pitts,megan.pitts.9757@example.com,758-425-6421,Jeffreyville,Alabama,Canada,2027-01-29 19:56:20,2027-02-17 07:42:09,Y
17578,Kyle,Henderson,kyle.henderson.17578@example.com,397-504-8651x5269,West Philip,North Carolina,Canada,2027-01-15 16:31:53,2027-02-09 08:38:49,Y
8014,John,Stein,john.stein.8014@example.com,708-234-3688x543,Lake Tammychester,Louisiana,Canada,2027-01-03 02:52:06,2027-02-05 10:21:25,Y
21611,Elaine,Fitzgerald,elaine.fitzgerald.21611@example.com,001-542-542-4008,New Johnside,Wisconsin,Canada,2027-01-17 15:09:45,2027-02-09 22:39:51,Y
9309,Angel,Lynn,angel.lynn.9309@example.com,482.357.8090x151,Valeriechester,New Hampshire,Canada,2027-01-16 15:41:25,2027-02-25 12:53:56,Y
